PersonId,AttributeKey,AttributeValue
3880,IndSpiritualMaturity,Leading
3880,IndBaptized,Baptized
3880,IndFamPosition,Spouse
3880,IndAnniversary,1999-06-26T00:00:00.0000000
3899,IndCampus,Sojourn Midtown
3899,IndAgeBracket,10 and Under
3899,IndLimitAccessUser,1
3899,IndFamPosition,Child
3904,IndCampus,Sojourn Midtown
3904,IndFamPosition,Child
3909,IndCampus,Sojourn Midtown
3909,IndFamPosition,Child
3911,IndCampus,Sojourn Midtown
3911,IndFamPosition,Child
3853,MembershipDate,2009-12-10T00:00:00.0000000
3853,IndCampus,Sojourn Midtown
3853,IndBaptized,Baptized
3853,IndFamPosition,Primary Contact
3854,IndCampus,Sojourn Midtown
3854,IndFamPosition,Spouse
3855,IndCampus,Sojourn Midtown
3855,IndFamPosition,Primary Contact
3856,IndCampus,Sojourn Midtown
3856,IndFamPosition,Spouse
3857,IndCampus,Sojourn Midtown
3857,IndFamPosition,Child
3858,IndCampus,Sojourn Midtown
3858,IndFamPosition,Child
3859,IndCampus,Sojourn Midtown
3859,IndFamPosition,Child
3860,IndCampus,Sojourn Midtown
3860,IndFamPosition,Child
3861,IndCampus,Sojourn Midtown
3861,IndLimitAccessUser,1
3861,IndFamPosition,Primary Contact
3862,IndCampus,Sojourn Midtown
3862,IndFamPosition,Primary Contact
3863,MembershipDate,2011-08-03T00:00:00.0000000
3863,IndCampus,Sojourn New Albany
3863,IndBaptized,Baptized
3863,IndFamPosition,Primary Contact
3863,IndAnniversary,1996-02-16T00:00:00.0000000
3864,MembershipDate,2011-08-03T00:00:00.0000000
3864,IndCampus,Sojourn New Albany
3864,IndBaptized,Baptized
3864,IndFamPosition,Spouse
3864,IndAnniversary,1996-02-16T00:00:00.0000000
3865,IndCampus,Sojourn New Albany
3865,IndFamPosition,Child
