PersonId,AttributeKey,AttributeValue
4143,IndCampus,Sojourn Midtown
4143,IndBaptized,Baptized
4143,IndLimitAccessUser,1
4143,IndFamPosition,Spouse
4144,IndCampus,Sojourn Midtown
4144,IndLimitAccessUser,1
4144,IndFamPosition,Child
4145,IndCampus,Sojourn Midtown
4145,IndLimitAccessUser,1
4145,IndFamPosition,Child
4146,IndCampus,Sojourn Midtown
4146,IndLimitAccessUser,1
4146,IndFamPosition,Child
4147,IndCampus,Sojourn Midtown
4147,IndFamPosition,Primary Contact
4148,IndCampus,Sojourn Midtown
4148,IndFamPosition,Spouse
4149,IndCampus,Sojourn Midtown
4149,IndFamPosition,Child
4150,IndCampus,Sojourn Midtown
4150,IndFamPosition,Primary Contact
4151,IndCampus,Sojourn Midtown
4151,IndFamPosition,Primary Contact
4152,IndCampus,Sojourn Midtown
4152,IndFamPosition,Primary Contact
4153,IndCampus,Sojourn Midtown
4153,IndFamPosition,Primary Contact
4155,IndCampus,Sojourn Midtown
4155,IndFamPosition,Spouse
4156,IndCampus,Sojourn Midtown
4156,IndFamPosition,Child
4157,MembershipDate,2007-10-14T00:00:00.0000000
4157,IndCampus,Sojourn East
4157,IndSpiritualMaturity,Stable
4157,IndBaptized,Baptized
4157,IndLimitAccessUser,1
4157,IndFamPosition,Primary Contact
4158,IndCampus,Sojourn Midtown
4158,IndFamPosition,Child
4159,IndCampus,Sojourn Midtown
4159,IndFamPosition,Child
4160,IndCampus,Sojourn Midtown
4160,IndFamPosition,Child
4161,MembershipDate,2007-09-26T00:00:00.0000000
4161,IndCampus,Sojourn New Albany
4161,IndMilitary,None
4161,IndSpiritualMaturity,Stable
4161,IndBaptized,Baptized
4161,IndHowtheyheard,Sojourn Website
4161,IndFamPosition,Primary Contact
4161,IndAnniversary,2008-06-28T00:00:00.0000000
4162,MembershipDate,2007-09-26T00:00:00.0000000
4162,IndSchoolName,Univ of Louisville
4162,IndCampus,Sojourn New Albany
4162,IndSpiritualMaturity,Stable
4162,IndBaptized,Baptized
4162,IndFamPosition,Spouse
4162,IndAnniversary,2008-06-28T00:00:00.0000000
4163,IndCampus,Sojourn New Albany
4163,IndLimitAccessUser,1
4163,IndFamPosition,Child
4164,IndCampus,Sojourn New Albany
4164,IndLimitAccessUser,1
4164,IndFamPosition,Child
4165,IndCampus,Sojourn Midtown
4165,IndAgeBracket,19 - 24
4165,IndFamPosition,Primary Contact
4166,IndCampus,Sojourn Midtown
4166,IndFamPosition,Primary Contact
