Id,PersonId,AccountId,StartDate,EndDate,PledgeFrequency,TotalAmount
758,15578,118,10/15/2015 12:00:00 AM,9/15/2020 12:00:00 AM,Monthly,7080
1098,20449,127,5/1/2016 12:00:00 AM,4/21/2019 12:00:00 AM,Weekly,8800
839,20524,118,12/1/2015 12:00:00 AM,11/30/2020 12:00:00 AM,Monthly,6000
1000,20561,118,1/1/2016 12:00:00 AM,12/31/2020 12:00:00 AM,Monthly,6000
1145,20564,127,5/1/2016 12:00:00 AM,4/28/2019 12:00:00 AM,Monthly,3600
1123,21755,127,5/1/2016 12:00:00 AM,4/28/2019 12:00:00 AM,Monthly,9000
981,20599,118,1/1/2016 12:00:00 AM,12/31/2020 12:00:00 AM,OneTime,350
942,20689,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,Yearly,5000
943,20713,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,OneTime,50
1030,20733,118,1/1/2016 12:00:00 AM,12/31/2018 12:00:00 AM,Monthly,7200
1144,558,127,5/1/2016 12:00:00 AM,4/28/2019 12:00:00 AM,OneTime,4000
989,20793,118,12/6/2015 12:00:00 AM,12/1/2020 12:00:00 AM,Monthly,1200
949,22686,118,11/15/2015 12:00:00 AM,9/11/2016 12:00:00 AM,Monthly,1000
836,20964,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,Monthly,3000
1160,20992,91,7/29/2016 12:00:00 AM,7/29/2016 12:00:00 AM,OneTime,300
1026,20995,118,1/1/2016 12:00:00 AM,12/31/2020 12:00:00 AM,Monthly,3000
886,585,118,12/1/2015 12:00:00 AM,11/30/2020 12:00:00 AM,Monthly,6000
996,21025,118,12/1/2015 12:00:00 AM,11/22/2020 12:00:00 AM,Weekly,5200
1061,21480,127,4/17/2016 12:00:00 AM,4/28/2019 12:00:00 AM,Monthly,2160
840,21075,118,1/5/2016 12:00:00 AM,12/31/2020 12:00:00 AM,Monthly,3000
1023,21752,118,11/15/2015 12:00:00 AM,11/29/2020 12:00:00 AM,Monthly,1200
933,21201,118,3/1/2016 12:00:00 AM,3/1/2021 12:00:00 AM,Yearly,1500
524,21345,2,5/1/2010 12:00:00 AM,5/1/2015 12:00:00 AM,Monthly,1200
1106,21346,127,5/1/2016 12:00:00 AM,4/28/2019 12:00:00 AM,Monthly,360
902,21406,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,Monthly,15000
214,619,81,4/30/2006 12:00:00 AM,4/30/2006 12:00:00 AM,OneTime,200
916,21489,118,12/1/2015 12:00:00 AM,11/30/2017 12:00:00 AM,Monthly,1200
1114,21572,127,5/1/2016 12:00:00 AM,4/28/2019 12:00:00 AM,Monthly,5600
1025,21634,118,1/1/2016 12:00:00 AM,12/31/2020 12:00:00 AM,Monthly,10000
835,21638,118,12/1/2015 12:00:00 AM,11/29/2020 12:00:00 AM,Monthly,3000
786,21639,118,11/22/2015 12:00:00 AM,11/8/2020 12:00:00 AM,Weekly,2600
941,21673,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,OneTime,200
1147,21708,127,6/1/2016 12:00:00 AM,5/31/2019 12:00:00 AM,Monthly,1800
794,21958,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,Weekly,5200
