7/25/2017 7:23:56 PM,Application Starting...
7/25/2017 7:24:03 PM,Migrating Database...
7/25/2017 7:28:16 PM,Application Started Successfully
7/25/2017 7:31:10 PM,Application Ended: Change Notification for critical directories.
bin dir change or directory rename
HostingEnvironment initiated shutdown
Change Notification for critical directories.
bin dir change or directory rename
Change Notification for critical directories.
bin dir change or directory rename
HostingEnvironment caused shutdown
7/25/2017 7:31:14 PM,Application Starting...
7/25/2017 7:31:27 PM,Application Started Successfully
7/25/2017 8:13:46 PM,Application Ended: HostingEnvironment initiated shutdown
HostingEnvironment caused shutdown
7/25/2017 10:29:41 PM,Application Starting...
7/25/2017 10:29:53 PM,Application Started Successfully
7/25/2017 10:50:41 PM,Application Ended: HostingEnvironment initiated shutdown
HostingEnvironment caused shutdown
7/26/2017 12:14:27 AM,Application Starting...
7/26/2017 12:14:39 AM,Application Started Successfully
7/26/2017 12:35:28 AM,Application Ended: HostingEnvironment initiated shutdown
HostingEnvironment caused shutdown
7/26/2017 3:55:09 AM,Application Starting...
7/26/2017 3:55:21 AM,Application Started Successfully
7/26/2017 4:31:09 AM,Application Ended: HostingEnvironment initiated shutdown
HostingEnvironment caused shutdown
7/26/2017 4:35:40 AM,Application Starting...
7/26/2017 4:35:52 AM,Application Started Successfully
7/26/2017 4:56:41 AM,Application Ended: HostingEnvironment initiated shutdown
HostingEnvironment caused shutdown
7/26/2017 8:33:29 AM,Application Starting...
7/26/2017 8:33:41 AM,Application Started Successfully
7/26/2017 9:41:29 AM,Application Ended: HostingEnvironment initiated shutdown
HostingEnvironment caused shutdown
7/26/2017 9:44:15 AM,Application Starting...
7/26/2017 9:44:27 AM,Application Started Successfully
7/26/2017 10:36:15 AM,Application Ended: HostingEnvironment initiated shutdown
HostingEnvironment caused shutdown
7/26/2017 10:55:39 AM,Application Starting...
7/26/2017 10:55:51 AM,Application Started Successfully
7/26/2017 11:20:40 AM,Application Ended: HostingEnvironment initiated shutdown
HostingEnvironment caused shutdown
7/26/2017 12:07:10 PM,Application Starting...
7/26/2017 12:07:22 PM,Application Started Successfully
7/26/2017 12:41:10 PM,Application Ended: HostingEnvironment initiated shutdown
HostingEnvironment caused shutdown
7/26/2017 1:33:07 PM,Application Starting...
7/26/2017 1:33:19 PM,Application Started Successfully
7/26/2017 1:54:07 PM,Application Ended: HostingEnvironment initiated shutdown
HostingEnvironment caused shutdown
7/26/2017 3:33:57 PM,Application Starting...
7/26/2017 3:34:09 PM,Application Started Successfully
7/26/2017 4:28:58 PM,Application Ended: HostingEnvironment initiated shutdown
HostingEnvironment caused shutdown
7/26/2017 6:16:29 PM,Application Starting...
7/26/2017 6:16:41 PM,Application Started Successfully
7/26/2017 6:37:29 PM,Application Ended: HostingEnvironment initiated shutdown
HostingEnvironment caused shutdown
7/26/2017 9:14:19 PM,Application Starting...
7/26/2017 9:14:31 PM,Application Started Successfully
7/26/2017 9:35:20 PM,Application Ended: HostingEnvironment initiated shutdown
HostingEnvironment caused shutdown
7/27/2017 2:10:11 AM,Application Starting...
7/27/2017 2:10:23 AM,Application Started Successfully
7/27/2017 3:00:11 AM,Application Ended: HostingEnvironment initiated shutdown
HostingEnvironment caused shutdown
7/27/2017 3:26:55 AM,Application Starting...
7/27/2017 3:27:07 AM,Application Started Successfully
7/27/2017 3:47:56 AM,Application Ended: HostingEnvironment initiated shutdown
HostingEnvironment caused shutdown
7/27/2017 3:53:42 AM,Application Starting...
7/27/2017 3:53:54 AM,Application Started Successfully
7/27/2017 4:14:43 AM,Application Ended: HostingEnvironment initiated shutdown
HostingEnvironment caused shutdown
7/27/2017 5:37:17 AM,Application Starting...
7/27/2017 5:37:29 AM,Application Started Successfully
7/27/2017 5:58:18 AM,Application Ended: HostingEnvironment initiated shutdown
HostingEnvironment caused shutdown
7/27/2017 6:59:52 AM,Application Starting...
7/27/2017 7:00:04 AM,Application Started Successfully
7/27/2017 7:32:53 AM,Application Ended: HostingEnvironment initiated shutdown
HostingEnvironment caused shutdown
7/27/2017 9:05:01 AM,Application Starting...
